CBSA,MDIV,STCOU,NAME,LSAD,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,NPOPCHG2020,NPOPCHG2021,BIRTHS2020,BIRTHS2021,DEATHS2020,DEATHS2021,NATURALCHG2020,NATURALCHG2021,INTERNATIONALMIG2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,RESIDUAL2020,RESIDUAL2021
40760,,,"Ruidoso, NM",Micropolitan Statistical Area,20269,20296,20436,27,140,37,167,63,223,-26,-56,2,5,54,193,56,198,-3,-2
40780,,,"Russellville, AR",Micropolitan Statistical Area,83644,83562,83944,-82,382,234,877,275,1001,-41,-124,3,3,-42,497,-39,500,-2,6
40820,,,"Ruston, LA",Micropolitan Statistical Area,48396,48259,48152,-137,-107,113,442,136,477,-23,-35,1,42,-117,-125,-116,-83,2,11
40860,,,"Rutland, VT",Micropolitan Statistical Area,60572,60455,60591,-117,136,131,413,210,767,-79,-354,0,-1,-31,490,-31,489,-7,1
40940,,,"Safford, AZ",Micropolitan Statistical Area,38533,38614,39050,81,436,119,466,81,371,38,95,0,19,42,317,42,336,1,5
41220,,,"St. Marys, GA",Micropolitan Statistical Area,54768,54911,55664,143,753,177,709,102,464,75,245,1,7,66,495,67,502,1,6
41260,,,"St. Marys, PA",Micropolitan Statistical Area,30990,30927,30783,-63,-144,65,289,82,440,-17,-151,0,-1,-42,5,-42,4,-4,3
41400,,,"Salem, OH",Micropolitan Statistical Area,101877,101607,101310,-270,-297,221,985,395,1475,-174,-490,1,18,-91,160,-90,178,-6,15
41460,,,"Salina, KS",Micropolitan Statistical Area,60038,59965,59726,-73,-239,194,725,187,750,7,-25,0,15,-79,-229,-79,-214,-1,0
41760,,,"Sandpoint, ID",Micropolitan Statistical Area,47110,47390,49491,280,2101,108,387,112,549,-4,-162,0,-1,288,2303,288,2302,-4,-39
41780,,,"Sandusky, OH",Micropolitan Statistical Area,75622,75429,74852,-193,-577,194,709,320,1151,-126,-442,-1,4,-59,-148,-60,-144,-7,9
41820,,,"Sanford, NC",Micropolitan Statistical Area,63285,63387,64138,102,751,188,764,175,697,13,67,0,37,91,643,91,680,-2,4
42300,,,"Sault Ste. Marie, MI",Micropolitan Statistical Area,36785,36744,36816,-41,72,72,291,104,444,-32,-153,0,3,-8,220,-8,223,-1,2
42380,,,"Sayre, PA",Micropolitan Statistical Area,59967,59858,59892,-109,34,151,603,233,841,-82,-238,0,11,-21,256,-21,267,-6,5
42420,,,"Scottsbluff, NE",Micropolitan Statistical Area,37893,37829,37580,-64,-249,112,421,141,504,-29,-83,0,4,-33,-174,-33,-170,-2,4
42460,,,"Scottsboro, AL",Micropolitan Statistical Area,52579,52519,52773,-60,254,142,512,221,823,-79,-311,-1,-2,23,568,22,566,-3,-1
42500,,,"Scottsburg, IN",Micropolitan Statistical Area,24384,24336,24355,-48,19,50,273,94,393,-44,-120,0,2,-3,134,-3,136,-1,3
42620,,,"Searcy, AR",Micropolitan Statistical Area,76822,76810,77207,-12,397,182,832,221,1020,-39,-188,0,8,27,572,27,580,0,5
42740,,,"Sedalia, MO",Micropolitan Statistical Area,42980,42951,43188,-29,237,148,583,147,518,1,65,0,21,-28,143,-28,164,-2,8
42780,,,"Selinsgrove, PA",Micropolitan Statistical Area,39736,39717,39621,-19,-96,99,373,97,486,2,-113,0,1,-19,10,-19,11,-2,6
42820,,,"Selma, AL",Micropolitan Statistical Area,38462,38190,37619,-272,-571,112,426,144,567,-32,-141,0,4,-240,-432,-240,-428,0,-2
42860,,,"Seneca, SC",Micropolitan Statistical Area,78607,78638,79203,31,565,143,663,303,1148,-160,-485,4,61,194,994,198,1055,-7,-5
42900,,,"Seneca Falls, NY",Micropolitan Statistical Area,33814,33715,33688,-99,-27,66,362,100,388,-34,-26,0,9,-63,-17,-63,-8,-2,7
42940,,,"Sevierville, TN",Micropolitan Statistical Area,98380,98497,99517,117,1020,252,1004,307,1294,-55,-290,-2,44,180,1269,178,1313,-6,-3
42980,,,"Seymour, IN",Micropolitan Statistical Area,46428,46373,46067,-55,-306,140,603,156,592,-16,11,1,34,-40,-355,-39,-321,0,4
43020,,,"Shawano, WI",Micropolitan Statistical Area,45136,45093,45148,-43,55,121,492,158,614,-37,-122,0,2,-2,171,-2,173,-4,4
43060,,,"Shawnee, OK",Micropolitan Statistical Area,72454,72441,73019,-13,578,190,844,276,1002,-86,-158,0,5,73,729,73,734,0,2
43140,,,"Shelby, NC",Micropolitan Statistical Area,99519,99725,100359,206,634,236,1119,341,1495,-105,-376,0,11,315,997,315,1008,-4,2
43180,,,"Shelbyville, TN",Micropolitan Statistical Area,50237,50302,51119,65,817,160,675,172,573,-12,102,1,20,75,696,76,716,1,-1
